Country Name,Country Code,"Population2023","GrowthRate2023","FertilityRate2022","LifeExpectancy2022","DeathRate2022","MortalityRate2022","NetMigration2022"
Europe & Central Asia,ECS,923929755,0.0031937385215092817,1.6642852009727689,77.84131870047585,10.84416080553676,6.4,415653.0
Ecuador,ECU,18190484,0.010526304094216954,2.003,77.894,4.85,10.5,-20865.5
"Egypt, Arab Rep.",EGY,112716598,0.015555395961746266,2.878,70.159,6.39,15.5,-29998.0
Euro area,EMU,350357398,0.005815855578882534,1.4490123111455384,81.70138410716419,11.186678040719087,2.9193105263088386,578001.0
Eritrea,ERI,3748901,0.01760815324079701,3.786,66.604,6.727,28.0,-16224.5
Spain,ESP,48373336,0.012453258108171994,1.16,83.0829268292683,9.7,2.5,39998.0
Estonia,EST,1366188,0.012861421666024109,1.41,77.94390243902441,12.8,1.5,-1000.0
Ethiopia,ETH,126527060,0.025507683081406277,4.063,65.645,6.497,33.9,-11999.0
European Union,EUU,449476878,0.0047082379367433536,1.4614038129126987,80.80262110738526,11.508932854742154,3.114880456360981,2443944.0
Fragile and conflict affected situations,FCS,1042703808,0.023115891059524163,4.3258707992709775,61.79258830055621,9.256405733003612,49.98301896562828,-2022486.0
Finland,FIN,5584264,0.005067937868715954,1.32,81.18780487804878,11.4,1.9,13999.0
Fiji,FJI,936375,0.00710824013784106,2.462,68.312,8.234999999999998,23.6,-3423.0
France,FRA,68170228,0.00292648467527723,1.794,82.22926829268293,9.8,3.3,67181.0
Faroe Islands,FRO,53270,0.003390469014880493,2.0497,83.29999999999998,9.1,,0.0
"Micronesia, Fed. Sts.",FSM,115224,0.009284888406152493,2.669,70.925,6.275,20.5,-600.0
Gabon,GAB,2436566,0.019913838137591178,3.46,65.694,7.307,28.8,1000.0
United Kingdom,GBR,68350000,0.008245932350902097,1.57,82.05853658536587,9.1,3.6,165790.0
Georgia,GEO,3760365,0.012892383626998738,2.063,71.587,15.197,8.3,-9999.0
Ghana,GHA,34121985,0.01930091734733108,3.507,63.945,7.585,31.6,-9999.0
Gibraltar,GIB,32688,0.0011945235688688438,1.837,82.83,8.511,,-24.0
Guinea,GIN,14190612,0.023902363034432828,4.303,58.985,9.87,62.2,-4000.0
"Gambia, The",GMB,2773168,0.024824907095069012,4.586,62.906,7.137,32.8,-3000.0
Guinea-Bissau,GNB,2150842,0.021503006792472856,3.925,59.861,8.596999999999998,48.6,-1400.0
Equatorial Guinea,GNQ,1714671,0.023740408428403192,4.17,61.19,8.708,55.1,4000.0
Greece,GRC,10361295,-0.006293709579982321,1.43,80.63658536585366,13.4,3.3,5000.0
Grenada,GRD,126183,0.005939189081458629,1.986,75.33499999999998,7.942,14.4,-200.0
Greenland,GRL,56865,0.003600360036003502,1.839,71.54048780487807,9.3,,-100.0
Guatemala,GTM,17602431,0.014088409153049986,2.354,68.674,6.767,18.8,-9119.0
Guam,GUM,172952,0.006857848102739705,2.55,78.33,6.55,,-500.0
