,Player,Actual,Adjusted,Year
54,Kendall Gill,"$1,500,000","$3,421,605",1991
55,Alex English,"$1,500,000","$3,421,605",1991
56,Danny Schayes,"$1,500,000","$3,421,605",1991
57,Johnny Dawkins,"$1,500,000","$3,421,605",1991
58,Kevin McHale,"$1,400,000","$3,193,498",1991
59,Mark Price,"$1,400,000","$3,193,498",1991
60,Vinnie Johnson,"$1,400,000","$3,193,498",1991
61,Sleepy Floyd,"$1,400,000","$3,193,498",1991
62,Xavier McDaniel,"$1,400,000","$3,193,498",1991
63,Greg Anderson,"$1,365,000","$3,113,660",1991
64,Ron Harper,"$1,365,000","$3,113,660",1991
65,Rik Smits,"$1,350,000","$3,079,444",1991
66,Rick Mahorn,"$1,330,000","$3,033,823",1991
67,Brad Daugherty,"$1,320,000","$3,011,012",1991
68,Manute Bol,"$1,300,000","$2,965,391",1991
69,Brad Lohaus,"$1,275,000","$2,908,364",1991
70,Sarunas Marciulionis,"$1,270,000","$2,896,958",1991
71,Larry Nance,"$1,260,000","$2,874,148",1991
72,Roy Hinson,"$1,250,000","$2,851,337",1991
73,J.R. Reid,"$1,250,000","$2,851,337",1991
74,Dale Ellis,"$1,250,000","$2,851,337",1991
75,Jim Petersen,"$1,235,000","$2,817,121",1991
76,Brian Shaw,"$1,212,000","$2,764,656",1991
77,Drazen Petrovic,"$1,200,000","$2,737,284",1991
78,Johnny Newman,"$1,200,000","$2,737,284",1991
79,Tony Campbell,"$1,200,000","$2,737,284",1991
80,Armen Gilliam,"$1,200,000","$2,737,284",1991
81,Clyde Drexler,"$1,180,000","$2,691,662",1991
82,Detlef Schrempf,"$1,160,000","$2,646,041",1991
83,Randy Breuer,"$1,150,000","$2,623,230",1991
84,Mark Aguirre,"$1,115,000","$2,543,393",1991
85,Bill Cartwright,"$1,100,000","$2,509,177",1991
86,Byron Scott,"$1,100,000","$2,509,177",1991
87,Ricky Pierce,"$1,100,000","$2,509,177",1991
88,Jeff Hornacek,"$1,100,000","$2,509,177",1991
89,Wayne Cooper,"$1,100,000","$2,509,177",1991
90,Terry Catledge,"$1,085,000","$2,474,961",1991
91,Felton Spencer,"$1,070,000","$2,440,744",1991
92,Ken Norman,"$1,050,000","$2,395,123",1991
93,Charles Oakley,"$1,050,000","$2,395,123",1991
94,Joe Dumars,"$1,035,000","$2,360,907",1991
95,Kiki Vandeweghe,"$1,025,000","$2,338,096",1991
96,Kelly Tripucka,"$1,000,000","$2,281,070",1991
97,Horace Grant,"$1,000,000","$2,281,070",1991
98,Stacey King,"$1,000,000","$2,281,070",1991
99,Herb Williams,"$1,000,000","$2,281,070",1991
100,Tyrone Hill,"$1,000,000","$2,281,070",1991
101,Charles Smith,"$1,000,000","$2,281,070",1991
102,Maurice Cheeks,"$1,000,000","$2,281,070",1991
103,Eddie Johnson,"$1,000,000","$2,281,070",1991
104,Hersey Hawkins,"$1,000,000","$2,281,070",1991
105,Thurl Bailey,"$1,000,000","$2,281,070",1991
106,John Williams,"$1,000,000","$2,281,070",1991
107,Joe Wolf,"$990,000","$2,258,259",1991
108,Rodney McCray,"$985,000","$2,246,854",1991
109,Sam Vincent,"$980,000","$2,235,448",1991
110,Derrick McKey,"$962,000","$2,194,389",1991
111,Chris Dudley,"$950,000","$2,167,016",1991
112,Bo Kimble,"$950,000","$2,167,016",1991
113,George McCloud,"$940,000","$2,144,205",1991
114,James Edwards,"$935,000","$2,132,800",1991
115,Lionel Simmons,"$930,000","$2,121,395",1991
116,Craig Ehlo,"$925,000","$2,109,989",1991
117,Dennis Hopson,"$915,000","$2,087,179",1991
118,Jeff Malone,"$915,000","$2,087,179",1991
119,Michael Cage,"$910,000","$2,075,773",1991
120,Frank Brickowski,"$905,000","$2,064,368",1991
121,Dell Curry,"$900,000","$2,052,963",1991
122,Lester Conner,"$900,000","$2,052,963",1991
123,Kurt Rambis,"$900,000","$2,052,963",1991
124,Walter Davis,"$900,000","$2,052,963",1991
125,Paul Pressey,"$900,000","$2,052,963",1991
126,Doc Rivers,"$895,000","$2,041,557",1991
127,James Donaldson,"$880,000","$2,007,341",1991
128,Dennis Rodman,"$880,000","$2,007,341",1991
129,Kenny Walker,"$875,000","$1,995,936",1991
130,Mark West,"$875,000","$1,995,936",1991
131,Alvin Robertson,"$870,000","$1,984,530",1991
132,Joe Kleine,"$850,000","$1,938,909",1991
133,William Bedford,"$850,000","$1,938,909",1991
134,Mitch Richmond,"$850,000","$1,938,909",1991
135,Darrell Griffith,"$850,000","$1,938,909",1991
136,Sidney Green,"$837,000","$1,909,255",1991
137,Trent Tucker,"$835,000","$1,904,693",1991
138,Tyrone Corbin,"$830,000","$1,893,288",1991
139,Michael Adams,"$825,000","$1,881,882",1991
140,Loy Vaught,"$825,000","$1,881,882",1991
141,Muggsy Bogues,"$805,000","$1,836,261",1991
142,Orlando Woolridge,"$805,000","$1,836,261",1991
143,Rumeal Robinson,"$800,000","$1,824,856",1991
144,Tree Rollins,"$800,000","$1,824,856",1991
145,Larry Smith,"$800,000","$1,824,856",1991
146,Travis Mays,"$800,000","$1,824,856",1991
147,Tom Hammonds,"$800,000","$1,824,856",1991
148,Tim McCormick,"$775,000","$1,767,829",1991
149,Vlade Divac,"$770,000","$1,756,423",1991
150,Reggie Theus,"$765,000","$1,745,018",1991
151,Scottie Pippen,"$765,000","$1,745,018",1991
152,Roy Tarpley,"$765,000","$1,745,018",1991
153,Mike Sanders,"$760,000","$1,733,613",1991
154,Rony Seikaly,"$755,000","$1,722,207",1991
155,Ed Pinckney,"$750,000","$1,710,802",1991
156,Chris Morris,"$750,000","$1,710,802",1991
157,Cliff Levingston,"$750,000","$1,710,802",1991
158,David Wingate,"$750,000","$1,710,802",1991
159,Randy White,"$730,000","$1,665,181",1991
160,Gerald Wilkins,"$725,000","$1,653,775",1991
161,Nick Anderson,"$725,000","$1,653,775",1991
162,Danny Ainge,"$725,000","$1,653,775",1991
163,Willie Anderson,"$725,000","$1,653,775",1991
164,Kenny Smith,"$700,000","$1,596,749",1991
165,Bill Wennington,"$700,000","$1,596,749",1991
166,Fred Roberts,"$690,000","$1,573,938",1991
167,Kevin Willis,"$685,000","$1,562,532",1991
168,Rex Chapman,"$675,000","$1,539,722",1991
169,Buck Johnson,"$675,000","$1,539,722",1991
170,Tim Perry,"$675,000","$1,539,722",1991
171,Charles Jones,"$675,000","$1,539,722",1991
172,Vern Fleming,"$667,000","$1,521,473",1991
173,Nate McMillan,"$658,000","$1,500,944",1991
174,Reggie Miller,"$654,000","$1,491,819",1991
175,Alexander Volkov,"$650,000","$1,482,695",1991
176,Dave Jamerson,"$650,000","$1,482,695",1991
177,Jay Humphries,"$650,000","$1,482,695",1991
178,Sedale Threatt,"$650,000","$1,482,695",1991
179,Duane Causwell,"$650,000","$1,482,695",1991
180,Dave Greenwood,"$650,000","$1,482,695",1991
181,Mike Brown,"$650,000","$1,482,695",1991
182,Chucky Brown,"$630,000","$1,437,074",1991
183,Mychal Thompson,"$615,000","$1,402,858",1991
184,Pooh Richardson,"$615,000","$1,402,858",1991
185,Antoine Carr,"$610,000","$1,391,452",1991
186,Darrell Walker,"$610,000","$1,391,452",1991
187,Jeff Grayer,"$605,000","$1,380,047",1991
188,Larry Krystkowiak,"$605,000","$1,380,047",1991
189,Ledell Eackles,"$605,000","$1,380,047",1991
190,Terry Mills,"$600,000","$1,368,642",1991
191,Craig Hodges,"$600,000","$1,368,642",1991
192,Brad Davis,"$600,000","$1,368,642",1991
193,Olden Polynice,"$600,000","$1,368,642",1991
194,Andrew Lang,"$600,000","$1,368,642",1991
195,John Battle,"$590,000","$1,345,831",1991
196,Tod Murphy,"$590,000","$1,345,831",1991
197,John Salley,"$575,000","$1,311,615",1991
198,Elden Campbell,"$575,000","$1,311,615",1991
199,Gerald Glass,"$575,000","$1,311,615",1991
200,Todd Lichti,"$565,000","$1,288,804",1991
201,Jerrod Mustaf,"$565,000","$1,288,804",1991
202,John Bagley,"$550,000","$1,254,588",1991
203,Larry Drew,"$550,000","$1,254,588",1991
204,Terry Teagle,"$550,000","$1,254,588",1991
205,Ed Nealy,"$550,000","$1,254,588",1991
206,Jerome Kersey,"$550,000","$1,254,588",1991
207,Bob Hansen,"$550,000","$1,254,588",1991
208,Steve Kerr,"$548,000","$1,250,026",1991
209,Dee Brown,"$547,000","$1,247,745",1991
210,Gary Grant,"$530,000","$1,208,967",1991
211,Michael Smith,"$525,000","$1,197,561",1991
212,Mookie Blaylock,"$525,000","$1,197,561",1991
213,Derrick Chievous,"$525,000","$1,197,561",1991
214,Winston Bennett,"$525,000","$1,197,561",1991
215,Dwayne Schintzius,"$520,000","$1,186,156",1991
216,Sidney Moncrief,"$510,000","$1,163,345",1991
217,Spud Webb,"$510,000","$1,163,345",1991
218,Bill Hanzlik,"$510,000","$1,163,345",1991
219,Les Jepsen,"$505,000","$1,151,940",1991
220,Jerome Lane,"$500,000","$1,140,535",1991
221,Tim Hardaway,"$500,000","$1,140,535",1991
222,Rod Higgins,"$500,000","$1,140,535",1991
223,Randy Wittman,"$500,000","$1,140,535",1991
224,Sam Mitchell,"$500,000","$1,140,535",1991
225,Dana Barros,"$500,000","$1,140,535",1991
226,Jayson Williams,"$500,000","$1,140,535",1991
227,Mark Alarie,"$500,000","$1,140,535",1991
228,Eric Leckner,"$485,000","$1,106,318",1991
229,Greg Kite,"$480,000","$1,094,913",1991
230,Harvey Grant,"$475,000","$1,083,508",1991
231,Negele Knight,"$468,000","$1,067,540",1991
232,Brian Oliver,"$455,000","$1,037,886",1991
233,Will Perdue,"$450,000","$1,026,481",1991
234,Scott Hastings,"$450,000","$1,026,481",1991
235,Winston Garland,"$450,000","$1,026,481",1991
236,Jerry Reynolds,"$450,000","$1,026,481",1991
237,Otis Smith,"$450,000","$1,026,481",1991
238,Danny Young,"$450,000","$1,026,481",1991
239,Mark Acres,"$437,000","$996,827",1991
240,Dan Majerle,"$430,000","$980,860",1991
241,BJ Armstrong,"$425,000","$969,454",1991
242,Kevin Edwards,"$425,000","$969,454",1991
243,Quintin Dailey,"$425,000","$969,454",1991
244,Ron Anderson,"$425,000","$969,454",1991
245,Tate George,"$410,000","$935,238",1991
246,Jeff Turner,"$410,000","$935,238",1991
247,Scott Skiles,"$408,000","$930,676",1991
248,Tom Tolbert,"$405,000","$923,833",1991
249,Mark Bryant,"$405,000","$923,833",1991
250,Reggie Lewis,"$400,000","$912,428",1991
251,Ken Bannister,"$400,000","$912,428",1991
252,Billy Thompson,"$400,000","$912,428",1991
253,Adrian Dantley,"$400,000","$912,428",1991
254,Eddie Lee Wilkins,"$400,000","$912,428",1991
255,Dave Hoppen,"$400,000","$912,428",1991
256,Kenny Payne,"$400,000","$912,428",1991
257,Rod Strickland,"$400,000","$912,428",1991
258,Alaa Abdelnaby,"$395,000","$901,022",1991
259,John Paxson,"$385,000","$878,211",1991
260,Kevin Gamble,"$375,000","$855,401",1991
261,Byron Irvin,"$375,000","$855,401",1991
262,Anthony Cook,"$370,000","$843,995",1991
263,Lance Blanks,"$365,000","$832,590",1991
264,Jack Haley,"$360,000","$821,185",1991
265,Brian Quinnett,"$360,000","$821,185",1991
266,Blue Edwards,"$360,000","$821,185",1991
267,Kenny Gattison,"$355,000","$809,779",1991
268,John Morton,"$350,000","$798,374",1991
269,Kenny Battle,"$350,000","$798,374",1991
270,Shawn Kemp,"$350,000","$798,374",1991
271,Joe Barry Carroll,"$350,000","$798,374",1991
272,Morlon Wiley,"$347,000","$791,531",1991
273,Tom Garrick,"$340,000","$775,563",1991
274,Jon Sundvold,"$335,000","$764,158",1991
275,Bob Thornton,"$335,000","$764,158",1991
276,Micheal Williams,"$325,000","$741,347",1991
277,Mike Smrek,"$325,000","$741,347",1991
278,Sherman Douglas,"$325,000","$741,347",1991
279,Randolph Keys,"$322,000","$734,504",1991
280,Derek Smith,"$315,000","$718,537",1991
281,David Wood,"$300,000","$684,321",1991
282,Greg Dreiling,"$300,000","$684,321",1991
283,Grant Long,"$300,000","$684,321",1991
284,Greg Grant,"$300,000","$684,321",1991
285,Dave Corzine,"$300,000","$684,321",1991
286,Scott Meents,"$300,000","$684,321",1991
287,Rory Sparrow,"$300,000","$684,321",1991
288,Steve Colter,"$300,000","$684,321",1991
289,Scott Brooks,"$295,000","$672,915",1991
290,Bimbo Coles,"$290,000","$661,510",1991
291,Adrian Caldwell,"$275,000","$627,294",1991
292,Dave Feitl,"$275,000","$627,294",1991
293,A.J. English,"$275,000","$627,294",1991
294,Greg Foster,"$275,000","$627,294",1991
295,Steve Alford,"$250,000","$570,267",1991
296,Vernon Maxwell,"$250,000","$570,267",1991
297,Terry Davis,"$250,000","$570,267",1991
298,Cliff Robinson,"$250,000","$570,267",1991
299,Doug West,"$230,000","$524,646",1991
300,Jud Buechler,"$225,000","$513,240",1991
301,Frank Kornet,"$225,000","$513,240",1991
302,Walter Palmer,"$225,000","$513,240",1991
303,Stojko Vrankovic,"$222,000","$506,397",1991
304,Delaney Rudd,"$215,000","$490,430",1991
305,Marcus Liberty,"$210,000","$479,024",1991
306,Jeff Martin,"$210,000","$479,024",1991
307,Gary Leonard,"$200,000","$456,214",1991
308,Steve Scheffler,"$200,000","$456,214",1991
309,Milos Babic,"$200,000","$456,214",1991
310,Michael Ansley,"$200,000","$456,214",1991
311,Kevin Pritchard,"$185,000","$421,997",1991
312,Kenny Williams,"$175,000","$399,187",1991
313,Cedric Ceballos,"$175,000","$399,187",1991
314,Derrick Gervin,"$155,000","$353,565",1991
315,Scott Williams,"$150,000","$342,160",1991
316,John Shasky,"$150,000","$342,160",1991
317,John Long,"$150,000","$342,160",1991
318,Keith Askins,"$150,000","$342,160",1991
319,Richard Coffey,"$150,000","$342,160",1991
320,Sean Higgins,"$150,000","$342,160",1991
321,Tony Massenburg,"$150,000","$342,160",1991
322,Alan Ogg,"$130,000","$296,539",1991
323,Ian Lockhart,"$130,000","$296,539",1991
324,Duane Ferrell,"$125,000","$285,133",1991
325,Gerald Henderson,"$125,000","$285,133",1991
326,Rick Calloway,"$125,000","$285,133",1991
327,Kurk Lee,"$120,000","$273,728",1991
328,Gerald Paddio,"$120,000","$273,728",1991
329,Matt Bullard,"$120,000","$273,728",1991
330,Kennard Winchester,"$120,000","$273,728",1991
331,Tony Smith,"$120,000","$273,728",1991
332,Irving Thomas,"$120,000","$273,728",1991
333,Steve Henson,"$120,000","$273,728",1991
334,John Starks,"$120,000","$273,728",1991
335,Rickey Green,"$120,000","$273,728",1991
336,Andy Toolson,"$120,000","$273,728",1991
337,Haywoode Workman,"$120,000","$273,728",1991
338,Jim Grandholm,"$115,000","$262,323",1991
339,Andre Turner,"$110,000","$250,917",1991
340,Darnell Valentine,"$100,000","$228,107",1991
341,Paul Mokeski,"$100,000","$228,107",1991
342,Dave Popson,"$80,000","$182,485",1991
343,Scott Haffner,"$75,000","$171,080",1991
344,Henry James,"$75,000","$171,080",1991
345,Mario Elie,"$50,000","$114,053",1991
346,Avery Johnson,"$50,000","$114,053",1991
347,Alan Bannister,"$50,000","$114,053",1991
348,Tony Brown,"$50,000","$114,053",1991
349,A.J. Wynder,"$30,000","$68,432",1991
350,Kelvin Upshaw,"$30,000","$68,432",1991
351,Anthony Frederick,"$30,000","$68,432",1991
352,Larry Bird,"$7,070,000","$15,403,814",1992
353,Hot Rod Williams,"$3,786,000","$8,248,775",1992
354,Kevin McHale,"$3,500,000","$7,625,650",1992
355,Reggie Lewis,"$3,340,000","$7,277,049",1992
356,Michael Jordan,"$3,250,000","$7,080,961",1992
357,Reggie Miller,"$3,211,000","$6,995,989",1992
358,Charles Barkley,"$3,200,000","$6,972,023",1992
359,Hakeem Olajuwon,"$3,170,000","$6,906,660",1992
360,Patrick Ewing,"$3,139,000","$6,839,119",1992
361,Dominique Wilkins,"$3,100,000","$6,754,147",1992
362,Robert Parish,"$3,000,000","$6,536,272",1992
363,Isiah Thomas,"$2,960,000","$6,449,121",1992
364,Benoit Benjamin,"$2,875,000","$6,263,927",1992
365,Chris Mullin,"$2,844,000","$6,196,385",1992
366,Danny Ferry,"$2,843,000","$6,194,207",1992
367,Scottie Pippen,"$2,770,000","$6,035,157",1992
368,Ralph Sampson,"$2,685,000","$5,849,963",1992
369,Karl Malone,"$2,556,000","$5,568,903",1992
370,Bernard King,"$2,525,000","$5,501,362",1992
371,Sam Perkins,"$2,507,000","$5,462,144",1992
372,Magic Johnson,"$2,500,000","$5,446,893",1992
373,Wayman Tisdale,"$2,333,000","$5,083,040",1992
374,Derrick Coleman,"$2,300,000","$5,011,141",1992
375,Danny Manning,"$2,300,000","$5,011,141",1992
376,Pervis Ellison,"$2,300,000","$5,011,141",1992
377,Tom Chambers,"$2,275,000","$4,956,672",1992
378,Steve Smith,"$2,250,000","$4,902,204",1992
379,Brad Daugherty,"$2,245,000","$4,891,310",1992
380,David Robinson,"$2,240,000","$4,880,416",1992
381,Chuck Person,"$2,156,000","$4,697,400",1992
382,John Stockton,"$2,100,000","$4,575,390",1992
383,Kevin Duckworth,"$2,013,000","$4,385,838",1992
384,Mahmoud Abdul-Rauf,"$2,008,000","$4,374,944",1992
385,Dikembe Mutombo,"$2,005,000","$4,368,408",1992
386,Rony Seikaly,"$2,002,000","$4,361,872",1992
387,Jon Koncak,"$2,000,000","$4,357,514",1992
388,Sam Bowie,"$2,000,000","$4,357,514",1992
389,Bill Cartwright,"$2,000,000","$4,357,514",1992
390,John Salley,"$2,000,000","$4,357,514",1992
391,LaSalle Thompson,"$2,000,000","$4,357,514",1992
392,Dennis Scott,"$1,980,000","$4,313,939",1992
393,Larry Johnson,"$1,955,000","$4,259,470",1992
394,Kevin Johnson,"$1,950,000","$4,248,576",1992
395,Scott Skiles,"$1,925,000","$4,194,107",1992
396,Rolando Blackman,"$1,920,000","$4,183,214",1992
397,Kendall Gill,"$1,908,000","$4,157,069",1992
398,Gary Payton,"$1,883,000","$4,102,600",1992
399,Terry Cummings,"$1,861,000","$4,054,667",1992
400,Mike Gminski,"$1,850,000","$4,030,701",1992
401,Kenny Anderson,"$1,828,000","$3,982,768",1992
402,Mychal Thompson,"$1,807,000","$3,937,014",1992
403,Sean Elliott,"$1,802,000","$3,926,120",1992
404,Terry Porter,"$1,787,000","$3,893,439",1992
405,Otis Thorpe,"$1,786,000","$3,891,260",1992
406,Horace Grant,"$1,750,000","$3,812,825",1992
407,A.C. Green,"$1,750,000","$3,812,825",1992
408,James Worthy,"$1,750,000","$3,812,825",1992
409,Ricky Pierce,"$1,750,000","$3,812,825",1992
410,Derek Harper,"$1,725,000","$3,758,356",1992
411,Johnny Dawkins,"$1,700,000","$3,703,887",1992
412,Buck Williams,"$1,700,000","$3,703,887",1992
413,Ron Harper,"$1,650,000","$3,594,949",1992
414,Kenny Smith,"$1,633,000","$3,557,910",1992
415,Xavier McDaniel,"$1,625,000","$3,540,480",1992
416,Fat Lever,"$1,619,000","$3,527,408",1992
417,John Paxson,"$1,600,000","$3,486,011",1992
418,Danny Schayes,"$1,600,000","$3,486,011",1992
419,Moses Malone,"$1,600,000","$3,486,011",1992
420,Luc Longley,"$1,590,000","$3,464,224",1992
421,Vinnie Johnson,"$1,580,000","$3,442,436",1992
422,Jeff Malone,"$1,580,000","$3,442,436",1992
423,Blair Rasmussen,"$1,558,000","$3,394,503",1992
424,Mark Price,"$1,520,000","$3,311,711",1992
425,Billy Owens,"$1,509,000","$3,287,744",1992
426,Doug Smith,"$1,500,000","$3,268,136",1992
427,Sleepy Floyd,"$1,500,000","$3,268,136",1992
428,Greg Anderson,"$1,465,000","$3,191,879",1992
429,Jeff Hornacek,"$1,428,000","$3,111,265",1992
430,Willie Burton,"$1,402,000","$3,054,617",1992
431,Kevin Gamble,"$1,400,000","$3,050,260",1992
432,Michael Cage,"$1,390,000","$3,028,472",1992
433,Terry Catledge,"$1,386,000","$3,019,757",1992
434,Clyde Drexler,"$1,378,000","$3,002,327",1992
435,Brad Lohaus,"$1,377,000","$3,000,148",1992
436,Drazen Petrovic,"$1,375,000","$2,995,791",1992
437,Bill Laimbeer,"$1,369,000","$2,982,718",1992
438,Larry Nance,"$1,363,000","$2,969,646",1992
439,Cliff Levingston,"$1,350,000","$2,941,322",1992
440,Rik Smits,"$1,350,000","$2,941,322",1992
441,Armen Gilliam,"$1,350,000","$2,941,322",1992
442,Manute Bol,"$1,350,000","$2,941,322",1992
443,Felton Spencer,"$1,340,000","$2,919,534",1992
444,Alton Lister,"$1,333,000","$2,904,283",1992
445,Mark Eaton,"$1,333,000","$2,904,283",1992
446,Charles Shackleford,"$1,332,000","$2,902,104",1992
447,Brian Shaw,"$1,313,000","$2,860,708",1992
448,Michael Adams,"$1,309,000","$2,851,993",1992
449,Glen Rice,"$1,302,000","$2,836,742",1992
450,Dale Ellis,"$1,300,000","$2,832,384",1992
451,Jerry Reynolds,"$1,300,000","$2,832,384",1992
452,Joe Dumars,"$1,295,000","$2,821,490",1992
453,Lionel Simmons,"$1,289,000","$2,808,418",1992
454,Detlef Schrempf,"$1,278,000","$2,784,451",1992
455,Sarunas Marciulionis,"$1,267,000","$2,760,485",1992
456,Antoine Carr,"$1,263,000","$2,751,770",1992
457,Sam Vincent,"$1,260,000","$2,745,234",1992
458,J.R. Reid,"$1,250,000","$2,723,446",1992
459,Sherman Douglas,"$1,250,000","$2,723,446",1992
460,Randy Breuer,"$1,250,000","$2,723,446",1992
461,Mark Jackson,"$1,250,000","$2,723,446",1992
462,Mark Aguirre,"$1,232,000","$2,684,229",1992
463,Walter Davis,"$1,215,000","$2,647,189",1992
464,Johnny Newman,"$1,206,000","$2,627,581",1992
465,Tyrone Hill,"$1,200,000","$2,614,508",1992
466,Wayne Cooper,"$1,200,000","$2,614,508",1992
467,Doc Rivers,"$1,195,000","$2,603,615",1992
468,Herb Williams,"$1,183,000","$2,577,469",1992
469,Tony Campbell,"$1,183,000","$2,577,469",1992
470,Mike Brown,"$1,175,000","$2,560,039",1992
471,Ken Norman,"$1,150,000","$2,505,570",1992
472,Bo Kimble,"$1,150,000","$2,505,570",1992
473,Alec Kessler,"$1,122,000","$2,444,565",1992
474,Derrick McKey,"$1,112,000","$2,422,778",1992
475,Stacey King,"$1,100,000","$2,396,633",1992
476,Byron Scott,"$1,100,000","$2,396,633",1992
477,John Williams,"$1,100,000","$2,396,633",1992
478,Dennis Rodman,"$1,075,000","$2,342,164",1992
479,Sidney Green,"$1,063,000","$2,316,019",1992
480,Frank Brickowski,"$1,055,000","$2,298,589",1992
481,Charles Smith,"$1,050,000","$2,287,695",1992
482,Charles Oakley,"$1,050,000","$2,287,695",1992
483,Eddie Johnson,"$1,050,000","$2,287,695",1992
484,Alvin Robertson,"$1,033,000","$2,250,656",1992
485,Rumeal Robinson,"$1,025,000","$2,233,226",1992
486,Rodney McCray,"$1,025,000","$2,233,226",1992
487,Kiki Vandeweghe,"$1,020,000","$2,222,332",1992
488,Dell Curry,"$1,006,000","$2,191,829",1992
489,Maurice Cheeks,"$1,000,000","$2,178,757",1992
490,Travis Mays,"$1,000,000","$2,178,757",1992
491,Chris Dudley,"$1,000,000","$2,178,757",1992
492,Loy Vaught,"$1,000,000","$2,178,757",1992
493,Thurl Bailey,"$1,000,000","$2,178,757",1992
494,Ron Anderson,"$1,000,000","$2,178,757",1992
495,Paul Pressey,"$1,000,000","$2,178,757",1992
496,Larry Smith,"$997,000","$2,172,221",1992
497,George McCloud,"$990,000","$2,156,969",1992
498,Mark West,"$975,000","$2,124,288",1992
499,Mark Macon,"$970,000","$2,113,394",1992
500,Orlando Woolridge,"$957,000","$2,085,070",1992
501,Joe Kleine,"$950,000","$2,069,819",1992
502,Jeff Grayer,"$950,000","$2,069,819",1992
503,Kurt Rambis,"$950,000","$2,069,819",1992
504,Dennis Hopson,"$950,000","$2,069,819",1992
505,Mitch Richmond,"$950,000","$2,069,819",1992
506,Roy Hinson,"$943,000","$2,054,568",1992
507,Vlade Divac,"$942,000","$2,052,389",1992
508,Rex Chapman,"$940,000","$2,048,031",1992
509,Jim Petersen,"$936,000","$2,039,316",1992
510,James Edwards,"$933,000","$2,032,780",1992
511,Gary Grant,"$928,000","$2,021,886",1992
512,Craig Ehlo,"$925,000","$2,015,350",1992
513,Joe Barry Carroll,"$925,000","$2,015,350",1992
514,Tyrone Corbin,"$922,000","$2,008,814",1992
515,Muggsy Bogues,"$906,000","$1,973,954",1992
516,Ed Pinckney,"$900,000","$1,960,881",1992
517,William Bedford,"$900,000","$1,960,881",1992
518,Lester Conner,"$900,000","$1,960,881",1992
519,James Donaldson,"$880,000","$1,917,306",1992
520,Stacey Augmon,"$875,000","$1,906,412",1992
521,Greg Anthony,"$865,000","$1,884,625",1992
522,Mike Sanders,"$860,000","$1,873,731",1992
