tofix,replacewith
Clifford Robinson,Cliff Robinson
Dražen Petrović,Drazen Petrovic
Miloš Babić,Milos Babic
Šarūnas Marčiulionis,Sarunas Marciulionis
Stojko Vranković,Stojko Vrankovic
Jaren Jackson,Jaren Jackson Jr
Radisav Ćurčić,Radisav Curcic
Gheorghe Mureșan,Gheorghe Muresan
Richard Petruška,Richard Petruska
Toni Kukoč,Toni Kukoc
Hot Rod Williams,John Williams
Peja Stojaković,Predrag Stojakovic
