href,Occupation,type,grp,group
/ooh/entertainment-and-sports/producers-and-directors.htm,Producers and Directors,occupation,entertainment-and-sports,Entertainment and Sports
/ooh/entertainment-and-sports/athletes-and-sports-competitors.htm,Athletes and Sports Competitors,occupation,entertainment-and-sports,Entertainment and Sports
/ooh/entertainment-and-sports/coaches-and-scouts.htm,Coaches and Scouts,occupation,entertainment-and-sports,Entertainment and Sports
/ooh/entertainment-and-sports/umpires-referees-and-other-sports-officials.htm,"Umpires, Referees, and Other Sports Officials",occupation,entertainment-and-sports,Entertainment and Sports
/ooh/entertainment-and-sports/dancers-and-choreographers.htm,Dancers and Choreographers,occupation,entertainment-and-sports,Entertainment and Sports
/ooh/entertainment-and-sports/music-directors-and-composers.htm,Music Directors and Composers,occupation,entertainment-and-sports,Entertainment and Sports
/ooh/entertainment-and-sports/musicians-and-singers.htm,Musicians and Singers,occupation,entertainment-and-sports,Entertainment and Sports
/ooh/media-and-communication/announcers.htm,Announcers and DJs,occupation,media-and-communication,Media and Communication
/ooh/media-and-communication/reporters-correspondents-and-broadcast-news-analysts.htm,"News Analysts, Reporters, and Journalists",occupation,media-and-communication,Media and Communication
/ooh/media-and-communication/editors.htm,Editors,occupation,media-and-communication,Media and Communication
/ooh/media-and-communication/technical-writers.htm,Technical Writers,occupation,media-and-communication,Media and Communication
/ooh/media-and-communication/writers-and-authors.htm,Writers and Authors,occupation,media-and-communication,Media and Communication
/ooh/media-and-communication/interpreters-and-translators.htm,Interpreters and Translators,occupation,media-and-communication,Media and Communication
/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm,"Broadcast, Sound, and Video Technicians",occupation,media-and-communication,Media and Communication
/ooh/media-and-communication/photographers.htm,Photographers,occupation,media-and-communication,Media and Communication
/ooh/media-and-communication/film-and-video-editors-and-camera-operators.htm,Film and Video Editors and Camera Operators,occupation,media-and-communication,Media and Communication
/ooh/healthcare/chiropractors.htm,Chiropractors,occupation,healthcare,Healthcare
/ooh/healthcare/dentists.htm,Dentists,occupation,healthcare,Healthcare
/ooh/healthcare/optometrists.htm,Optometrists,occupation,healthcare,Healthcare
/ooh/healthcare/pharmacists.htm,Pharmacists,occupation,healthcare,Healthcare
/ooh/healthcare/physicians-and-surgeons.htm,Physicians and Surgeons,occupation,healthcare,Healthcare
/ooh/healthcare/physician-assistants.htm,Physician Assistants,occupation,healthcare,Healthcare
/ooh/healthcare/podiatrists.htm,Podiatrists,occupation,healthcare,Healthcare
/ooh/healthcare/registered-nurses.htm,Registered Nurses,occupation,healthcare,Healthcare
/ooh/healthcare/occupational-therapists.htm,Occupational Therapists,occupation,healthcare,Healthcare
/ooh/healthcare/physical-therapists.htm,Physical Therapists,occupation,healthcare,Healthcare
/ooh/healthcare/radiation-therapists.htm,Radiation Therapists,occupation,healthcare,Healthcare
/ooh/healthcare/recreational-therapists.htm,Recreational Therapists,occupation,healthcare,Healthcare
/ooh/healthcare/respiratory-therapists.htm,Respiratory Therapists,occupation,healthcare,Healthcare
/ooh/healthcare/speech-language-pathologists.htm,Speech-Language Pathologists,occupation,healthcare,Healthcare
/ooh/healthcare/veterinarians.htm,Veterinarians,occupation,healthcare,Healthcare
/ooh/healthcare/clinical-laboratory-technologists-and-technicians.htm,Clinical Laboratory Technologists and Technicians,occupation,healthcare,Healthcare
/ooh/healthcare/dental-hygienists.htm,Dental Hygienists,occupation,healthcare,Healthcare
/ooh/healthcare/diagnostic-medical-sonographers.htm,Diagnostic Medical Sonographers and Cardiovascular Technologists and Technicians,occupation,healthcare,Healthcare
/ooh/healthcare/nuclear-medicine-technologists.htm,Nuclear Medicine Technologists,occupation,healthcare,Healthcare
/ooh/healthcare/radiologic-technologists.htm,Radiologic and MRI Technologists,occupation,healthcare,Healthcare
/ooh/healthcare/emts-and-paramedics.htm,EMTs and Paramedics,occupation,healthcare,Healthcare
/ooh/healthcare/pharmacy-technicians.htm,Pharmacy Technicians,occupation,healthcare,Healthcare
/ooh/healthcare/surgical-technologists.htm,Surgical Assistants and Technologists,occupation,healthcare,Healthcare
/ooh/healthcare/veterinary-technologists-and-technicians.htm,Veterinary Technologists and Technicians,occupation,healthcare,Healthcare
/ooh/healthcare/licensed-practical-and-licensed-vocational-nurses.htm,Licensed Practical and Licensed Vocational Nurses,occupation,healthcare,Healthcare
/ooh/healthcare/medical-records-and-health-information-technicians.htm,Medical Records Specialists,occupation,healthcare,Healthcare
/ooh/healthcare/opticians-dispensing.htm,Opticians,occupation,healthcare,Healthcare
/ooh/healthcare/occupational-health-and-safety-specialists-and-technicians.htm,Occupational Health and Safety Specialists and Technicians,occupation,healthcare,Healthcare
/ooh/healthcare/athletic-trainers.htm,Athletic Trainers,occupation,healthcare,Healthcare
/ooh/healthcare/home-health-aides-and-personal-care-aides.htm,Home Health and Personal Care Aides,occupation,healthcare,Healthcare
/ooh/healthcare/nursing-assistants.htm,Nursing Assistants and Orderlies,occupation,healthcare,Healthcare
/ooh/healthcare/psychiatric-technicians-and-aides.htm,Psychiatric Technicians and Aides,occupation,healthcare,Healthcare
/ooh/healthcare/occupational-therapy-assistants-and-aides.htm,Occupational Therapy Assistants and Aides,occupation,healthcare,Healthcare
/ooh/healthcare/physical-therapist-assistants-and-aides.htm,Physical Therapist Assistants and Aides,occupation,healthcare,Healthcare
/ooh/healthcare/massage-therapists.htm,Massage Therapists,occupation,healthcare,Healthcare
/ooh/healthcare/dental-assistants.htm,Dental Assistants,occupation,healthcare,Healthcare
/ooh/healthcare/medical-assistants.htm,Medical Assistants,occupation,healthcare,Healthcare
/ooh/healthcare/medical-transcriptionists.htm,Medical Transcriptionists,occupation,healthcare,Healthcare
/ooh/protective-service/firefighters.htm,Firefighters,occupation,protective-service,Protective Service
/ooh/protective-service/correctional-officers.htm,Correctional Officers and Bailiffs,occupation,protective-service,Protective Service
/ooh/protective-service/police-and-detectives.htm,Police and Detectives,occupation,protective-service,Protective Service
/ooh/protective-service/private-detectives-and-investigators.htm,Private Detectives and Investigators,occupation,protective-service,Protective Service
/ooh/protective-service/security-guards.htm,Security Guards and Gambling Surveillance Officers,occupation,protective-service,Protective Service
/ooh/food-preparation-and-serving/chefs-and-head-cooks.htm,Chefs and Head Cooks,occupation,food-preparation-and-serving,Food Preparation and Serving
/ooh/food-preparation-and-serving/cooks.htm,Cooks,occupation,food-preparation-and-serving,Food Preparation and Serving
/ooh/food-preparation-and-serving/food-preparation-workers.htm,Food Preparation Workers,occupation,food-preparation-and-serving,Food Preparation and Serving
/ooh/food-preparation-and-serving/bartenders.htm,Bartenders,occupation,food-preparation-and-serving,Food Preparation and Serving
/ooh/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm,Food and Beverage Serving and Related Workers,occupation,food-preparation-and-serving,Food Preparation and Serving
/ooh/food-preparation-and-serving/waiters-and-waitresses.htm,Waiters and Waitresses,occupation,food-preparation-and-serving,Food Preparation and Serving
/ooh/building-and-grounds-cleaning/janitors-and-building-cleaners.htm,Janitors and Building Cleaners,occupation,building-and-grounds-cleaning,Building and Grounds Cleaning
/ooh/building-and-grounds-cleaning/pest-control-workers.htm,Pest Control Workers,occupation,building-and-grounds-cleaning,Building and Grounds Cleaning
/ooh/building-and-grounds-cleaning/grounds-maintenance-workers.htm,Grounds Maintenance Workers,occupation,building-and-grounds-cleaning,Building and Grounds Cleaning
/ooh/personal-care-and-service/animal-care-and-service-workers.htm,Animal Care and Service Workers,occupation,personal-care-and-service,Personal Care and Service
/ooh/personal-care-and-service/gaming-services-occupations.htm,Gambling Services Workers,occupation,personal-care-and-service,Personal Care and Service
/ooh/personal-care-and-service/barbers-hairstylists-and-cosmetologists.htm,"Barbers, Hairstylists, and Cosmetologists",occupation,personal-care-and-service,Personal Care and Service
/ooh/personal-care-and-service/manicurists-and-pedicurists.htm,Manicurists and Pedicurists,occupation,personal-care-and-service,Personal Care and Service
/ooh/personal-care-and-service/skincare-specialists.htm,Skincare Specialists,occupation,personal-care-and-service,Personal Care and Service
/ooh/transportation-and-material-moving/flight-attendants.htm,Flight Attendants,occupation,transportation-and-material-moving,Transportation and Material Moving
/ooh/personal-care-and-service/childcare-workers.htm,Childcare Workers,occupation,personal-care-and-service,Personal Care and Service
/ooh/personal-care-and-service/fitness-trainers-and-instructors.htm,Fitness Trainers and Instructors,occupation,personal-care-and-service,Personal Care and Service
/ooh/personal-care-and-service/recreation-workers.htm,Recreation Workers,occupation,personal-care-and-service,Personal Care and Service
/ooh/sales/cashiers.htm,Cashiers,occupation,sales,Sales
/ooh/sales/retail-sales-workers.htm,Retail Sales Workers,occupation,sales,Sales
/ooh/sales/advertising-sales-agents.htm,Advertising Sales Agents,occupation,sales,Sales
/ooh/sales/insurance-sales-agents.htm,Insurance Sales Agents,occupation,sales,Sales
/ooh/sales/wholesale-and-manufacturing-sales-representatives.htm,Wholesale and Manufacturing Sales Representatives,occupation,sales,Sales
/ooh/sales/models.htm,Models,occupation,sales,Sales
/ooh/sales/real-estate-brokers-and-sales-agents.htm,Real Estate Brokers and Sales Agents,occupation,sales,Sales
/ooh/sales/sales-engineers.htm,Sales Engineers,occupation,sales,Sales
/ooh/office-and-administrative-support/bill-and-account-collectors.htm,Bill and Account Collectors,occupation,office-and-administrative-support,Office and Administrative Support
/ooh/office-and-administrative-support/bookkeeping-accounting-and-auditing-clerks.htm,"Bookkeeping, Accounting, and Auditing Clerks",occupation,office-and-administrative-support,Office and Administrative Support
/ooh/office-and-administrative-support/tellers.htm,Tellers,occupation,office-and-administrative-support,Office and Administrative Support
/ooh/office-and-administrative-support/customer-service-representatives.htm,Customer Service Representatives,occupation,office-and-administrative-support,Office and Administrative Support
/ooh/office-and-administrative-support/receptionists.htm,Receptionists,occupation,office-and-administrative-support,Office and Administrative Support
/ooh/office-and-administrative-support/police-fire-and-ambulance-dispatchers.htm,Public Safety Telecommunicators,occupation,office-and-administrative-support,Office and Administrative Support
/ooh/office-and-administrative-support/postal-service-workers.htm,Postal Service Workers,occupation,office-and-administrative-support,Office and Administrative Support
/ooh/office-and-administrative-support/secretaries-and-administrative-assistants.htm,Secretaries and Administrative Assistants,occupation,office-and-administrative-support,Office and Administrative Support
/ooh/office-and-administrative-support/desktop-publishers.htm,Desktop Publishers,occupation,office-and-administrative-support,Office and Administrative Support
/ooh/farming-fishing-and-forestry/agricultural-workers.htm,Agricultural Workers,occupation,farming-fishing-and-forestry,"Farming, Fishing, and Forestry"
/ooh/farming-fishing-and-forestry/fishers-and-related-fishing-workers.htm,Fishing and Hunting Workers,occupation,farming-fishing-and-forestry,"Farming, Fishing, and Forestry"
/ooh/construction-and-extraction/brickmasons-blockmasons-and-stonemasons.htm,Masonry Workers,occupation,construction-and-extraction,Construction and Extraction
/ooh/construction-and-extraction/carpenters.htm,Carpenters,occupation,construction-and-extraction,Construction and Extraction
/ooh/construction-and-extraction/tile-and-marble-setters.htm,Flooring Installers and Tile and Stone Setters,occupation,construction-and-extraction,Construction and Extraction
/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,Construction Laborers and Helpers,occupation,construction-and-extraction,Construction and Extraction
/ooh/construction-and-extraction/construction-equipment-operators.htm,Construction Equipment Operators,occupation,construction-and-extraction,Construction and Extraction
/ooh/construction-and-extraction/drywall-and-ceiling-tile-installers-and-tapers.htm,"Drywall Installers, Ceiling Tile Installers, and Tapers",occupation,construction-and-extraction,Construction and Extraction
/ooh/construction-and-extraction/glaziers.htm,Glaziers,occupation,construction-and-extraction,Construction and Extraction
/ooh/construction-and-extraction/painters-construction-and-maintenance.htm,Construction and Maintenance Painters,occupation,construction-and-extraction,Construction and Extraction
/ooh/construction-and-extraction/plumbers-pipefitters-and-steamfitters.htm,"Plumbers, Pipefitters, and Steamfitters",occupation,construction-and-extraction,Construction and Extraction
/ooh/construction-and-extraction/roofers.htm,Roofers,occupation,construction-and-extraction,Construction and Extraction
/ooh/construction-and-extraction/structural-iron-and-steel-workers.htm,Ironworkers,occupation,construction-and-extraction,Construction and Extraction
/ooh/construction-and-extraction/construction-and-building-inspectors.htm,Construction and Building Inspectors,occupation,construction-and-extraction,Construction and Extraction
/ooh/construction-and-extraction/elevator-installers-and-repairers.htm,Elevator and Escalator Installers and Repairers,occupation,construction-and-extraction,Construction and Extraction
/ooh/construction-and-extraction/hazardous-materials-removal-workers.htm,Hazardous Materials Removal Workers,occupation,construction-and-extraction,Construction and Extraction
/ooh/installation-maintenance-and-repair/automotive-body-and-glass-repairers.htm,Automotive Body and Glass Repairers,occupation,installation-maintenance-and-repair,"Installation, Maintenance, and Repair"
/ooh/installation-maintenance-and-repair/automotive-service-technicians-and-mechanics.htm,Automotive Service Technicians and Mechanics,occupation,installation-maintenance-and-repair,"Installation, Maintenance, and Repair"
/ooh/installation-maintenance-and-repair/diesel-service-technicians-and-mechanics.htm,Diesel Service Technicians and Mechanics,occupation,installation-maintenance-and-repair,"Installation, Maintenance, and Repair"
/ooh/installation-maintenance-and-repair/small-engine-mechanics.htm,Small Engine Mechanics,occupation,installation-maintenance-and-repair,"Installation, Maintenance, and Repair"
/ooh/installation-maintenance-and-repair/general-maintenance-and-repair-workers.htm,General Maintenance and Repair Workers,occupation,installation-maintenance-and-repair,"Installation, Maintenance, and Repair"
/ooh/installation-maintenance-and-repair/line-installers-and-repairers.htm,Electrical Power-Line Installers and Repairers,occupation,installation-maintenance-and-repair,"Installation, Maintenance, and Repair"
/ooh/installation-maintenance-and-repair/medical-equipment-repairers.htm,Medical Equipment Repairers,occupation,installation-maintenance-and-repair,"Installation, Maintenance, and Repair"
/ooh/production/assemblers-and-fabricators.htm,Assemblers and Fabricators,occupation,production,Production
/ooh/production/bakers.htm,Bakers,occupation,production,Production
/ooh/production/metal-and-plastic-machine-workers.htm,Metal and Plastic Machine Workers,occupation,production,Production
/ooh/production/machinists-and-tool-and-die-makers.htm,Machinists and Tool and Die Makers,occupation,production,Production
/ooh/production/welders-cutters-solderers-and-brazers.htm,"Welders, Cutters, Solderers, and Brazers",occupation,production,Production
/ooh/production/woodworkers.htm,Woodworkers,occupation,production,Production
/ooh/production/stationary-engineers-and-boiler-operators.htm,Stationary Engineers and Boiler Operators,occupation,production,Production
/ooh/production/quality-control-inspectors.htm,Quality Control Inspectors,occupation,production,Production
/ooh/production/jewelers-and-precious-stone-and-metal-workers.htm,Jewelers and Precious Stone and Metal Workers,occupation,production,Production
/ooh/production/dental-and-ophthalmic-laboratory-technicians-and-medical-appliance-technicians.htm,Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians,occupation,production,Production
