href,Occupation,type,grp,group
/ooh/business-and-financial/compensation-benefits-and-job-analysis-specialists.htm,"Compensation, Benefits, and Job Analysis Specialists",occupation,business-and-financial,Business and Financial
/ooh/business-and-financial/fundraisers.htm,Fundraisers,occupation,business-and-financial,Business and Financial
/ooh/business-and-financial/training-and-development-specialists.htm,Training and Development Specialists,occupation,business-and-financial,Business and Financial
/ooh/computer-and-information-technology/computer-network-architects.htm,Computer Network Architects,occupation,computer-and-information-technology,Computer and Information Technology
/ooh/computer-and-information-technology/information-security-analysts.htm,Information Security Analysts,occupation,computer-and-information-technology,Computer and Information Technology
/ooh/computer-and-information-technology/web-developers.htm,Web Developers and Digital Designers,occupation,computer-and-information-technology,Computer and Information Technology
/ooh/construction-and-extraction/solar-photovoltaic-installers.htm,Solar Photovoltaic Installers,occupation,construction-and-extraction,Construction and Extraction
/ooh/healthcare/genetic-counselors.htm,Genetic Counselors,occupation,healthcare,Healthcare
/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm,"Nurse Anesthetists, Nurse Midwives, and Nurse Practitioners",occupation,healthcare,Healthcare
/ooh/healthcare/phlebotomists.htm,Phlebotomists,occupation,healthcare,Healthcare
/ooh/installation-maintenance-and-repair/wind-turbine-technicians.htm,Wind Turbine Technicians,occupation,installation-maintenance-and-repair,"Installation, Maintenance, and Repair"
/ooh/legal/arbitrators-mediators-and-conciliators.htm,"Arbitrators, Mediators, and Conciliators",occupation,legal,Legal
/ooh/management/emergency-management-directors.htm,Emergency Management Directors,occupation,management,Management
/ooh/management/public-relations-managers.htm,Public Relations and Fundraising Managers,occupation,management,Management
/ooh/media-and-communication/public-relations-specialists.htm,Public Relations Specialists,occupation,media-and-communication,Media and Communication
/ooh/production/butchers-and-meat-cutters.htm,Butchers,occupation,production,Production
/ooh/legal/judges-and-hearing-officers.htm,Judges and Hearing Officers,occupation,legal,Legal
/ooh/construction-and-extraction/insulation-workers.htm,Insulation Workers,occupation,construction-and-extraction,Construction and Extraction
/ooh/business-and-financial/labor-relations-specialists.htm,Labor Relations Specialists,occupation,business-and-financial,Business and Financial
/ooh/healthcare/exercise-physiologists.htm,Exercise Physiologists,occupation,healthcare,Healthcare
/ooh/math/data-scientists.htm,Data Scientists,occupation,math,Math
/ooh/business-and-financial/project-management-specialists.htm,Project Management Specialists,occupation,business-and-financial,Business and Financial
/ooh/healthcare/health-information-technologists-and-medical-registrars.htm,Health Information Technologists and Medical Registrars,occupation,healthcare,Healthcare
/ooh/education-training-and-library/tutors.htm,Tutors,occupation,education-training-and-library,"Education, Training, and Library"
/ooh/transportation-and-material-moving/taxi-drivers-and-chauffeurs.htm,"Taxi Drivers, Shuttle Drivers, and Chauffeurs",occupation,transportation-and-material-moving,Transportation and Material Moving
/ooh/community-and-social-service/community-health-workers.htm,Community Health Workers,occupation,community-and-social-service,Community and Social Service
/ooh/healthcare/medical-dosimetrists.htm,Medical Dosimetrists,occupation,healthcare,Healthcare
/ooh/installation-maintenance-and-repair/calibration-technologists-and-technicians.htm,Calibration Technologists and Technicians,occupation,installation-maintenance-and-repair,"Installation, Maintenance, and Repair"
/ooh/management/entertainment-and-recreation-managers.htm,Entertainment and Recreation Managers,occupation,management,Management
