country,Country_Code,Area SQKM,Pop 2022
Thailand,THA,513000,71697030
Timor-Leste,TLS,14900,1341296
Togo,TGO,56800,8848699
Tonga,TON,750,106858
Trinidad and Tobago,TTO,5130,1531044
Tunisia,TUN,164000,12356117
Turkey,TUR,785000,85341241
Turkmenistan,TKM,488000,6430770
Turks and Caicos Islands,TCA,950,45703
Tuvalu,TUV,30,11312
United Arab Emirates,ARE,98600,9441129
Uganda,UGA,242000,47249585
United Kingdom,GBR,244000,66971411
Ukraine,UKR,604000,38000000
Uruguay,URY,176000,3422794
United States,USA,9830000,333287557
Uzbekistan,UZB,449000,35648100
Vanuatu,VUT,12200,326740
Venezuela,VEN,912000,28301696
Vietnam,VNM,331000,98186856
Virgin Islands (U.S.),VIR,350,105413
Yemen,YEM,528000,33696614
Zambia,ZMB,753000,20017675
Zimbabwe,ZWE,391000,16320537
